CÓDIGO,NOME
BIB,Departamento de Botânica (IB)
BIE,Departamento de Ecologia (IB)
BIF,Departamento de Fisiologia (IB)
BIO,Departamento de Genética e Biologia Evolutiva (IB)
BIZ,Departamento de Zoologia (IB)
BMB,Departamento de Fisiologia e Biofísica (ICB)
BMC,Departamento de Biologia Celular (ICB)
CJE,Departamento de Jornalismo e Editoração (ECA)
EAC,Departamento de Contabilidade e Atuária (FEA)
EAD,Departamento de Administração (FEA)
EAE,Departamento de Economia (FEA)
EDF,Departamento de Filosofia da Educação e Ciências da Educação (FE)
EDM,Departamento de Metologia do Ensino e Educação Comparada (FE)
FLC,Departamento de Letras Clássicas e Vernáculas (FFLCH)
FLH,Departamento de História (FFLCH)
MAC,Departamento de Ciência da Computação (IME)
MAE,Departamento de Estatística (IME)
MAP,Departamento de Matemática Aplicada (IME)
MAT,Departamento de Matemática (IME)
PMR,Departamento de Mecatrônica e Sistemas Mecânicos (POLI)
PSA,"Departamento de Psicologia da Aprendizagem, do Desenvolvimento e da Personalidade (IP)"
PSE,Departamento de Psicologia Experimental (IP)
PSI,Departamento de Sistemas Eletrônicos (POLI)
PTC,Departamento de Telecomunicação e Controle (POLI)
