CÓDIGO,TÍTULO,VOLUME,AUTORES,ANO,PDF,DJVU,EPUB
MAC0110,Think Python: How to Think Like a Computer Scientist,,Allen B. Downey,2014,http://booksdl.org/get.php?md5=1ce32bd6d7c82f4a0d68120d7deeec7d&key=O9YM1YPW4V2WUMU4&mirr=1,,http://booksdl.org/get.php?md5=badba0e16cafe14e1d92eb4b2dcf1379&key=7KHMOEOSXNUE2GQM&mirr=1
MAE0121,Estatística Básica,,W. O. Bussab,2010,http://booksdl.org/get.php?md5=057e0e80811af8a60739ff773d7015d0&key=4BMNOX85JO1XFH8L&mirr=1,,
MAE1511,Estatística Básica,,W. O. Bussab,2010,http://booksdl.org/get.php?md5=057e0e80811af8a60739ff773d7015d0&key=4BMNOX85JO1XFH8L&mirr=1,,
MAP0316,DYNAMICAL SYSTEMS AND AN INTRODUCTION TO CHAOS,,M. W. Hirsh;S. Smale;R. Devaney,1974,,http://booksdl.org/get.php?md5=3f17097f66c052c6074fb3a589812240&key=MNQ7T1P4R6DFMCIM&mirr=1,
MAP0413,PARTIAL DIFFERENTIAL EQUATIONS,,F. John,1975,http://booksdl.org/get.php?md5=0ef99406ad5f9650283b5a8a5b28dca2&key=U4XY6UWI0U52GQ6O&mirr=1,http://booksdl.org/get.php?md5=df72159218c22d20ae0aa95f0fd45ab9&key=TQKDSO1G6Q52VPJV&mirr=1,
MAT0111,UM CURSO DE CÁLCULO,1,H. L. Guidorizzi,2001,http://booksdl.org/get.php?md5=27782d84815c37b0448c6c9340aae879&key=3QHV8HH5PTW3AO11&mirr=1,,http://booksdl.org/get.php?md5=2398e32bbdf1b6f2c01a2bdebade3b4d&key=BNUT2MMG2MYHA6ML&mirr=1
MAT0111,CALCULUS,,J. Stewart,2002,http://booksdl.org/get.php?md5=be9f4280027d4f5b8462c591c2dbba4b&key=B4CYDZPY9ZC4A2Q4&mirr=1,http://booksdl.org/get.php?md5=fbf0d81befe1e6ae2a642b54ef4f5b07&key=Y8ER8NECY8KGUIB2&mirr=1,
MAT0112,GEOMETRIA ANALÍTICA: UM TRATAMENTO VETORIAL,,P. Boulos,2005,http://booksdl.org/get.php?md5=86ae0838d9268e28fabacb448dafdc51&key=ME33DB0WRSS54825&mirr=1,,
MAT0164,An introduction to the theory of numbers,,I. Niven;H. S. Zuckerman,1991,,http://booksdl.org/get.php?md5=078ae46df278357da8a2496a0a47e3c2&key=SNH1YK5P9UDFFQAR&mirr=1,
MAT0205,UM CURSO DE CÁLCULO,3,H. L. Guidorizzi,2002,http://booksdl.org/get.php?md5=02f3b98b392035c518966745291e7f8b&key=494K6EGS3QIX7T78&mirr=1,,http://booksdl.org/get.php?md5=be54bd588d4907e83bf896a2794ab22d&key=XQ837IFO7OWWEHE3&mirr=1
